cell,init,arm,n_pos,R,cell_median_R,pooled_descriptive_median_R
libero_goal_t3_vs_t2,1,LOC,16,-0.0024097501800779512,0.003698836324861883,0.005613640435539619
libero_goal_t3_vs_t2,1,RAND,16,-0.00036043102618672865,-0.0031286847896165385,0.0007504291551753025
libero_goal_t3_vs_t2,1,LOC,32,-0.0039170656644961594,0.004334554792128267,0.010097458406011315
libero_goal_t3_vs_t2,1,RAND,32,-0.004351871743625637,-0.004351871743625637,0.008974087541989327
libero_goal_t3_vs_t2,1,LOC,64,-0.0029886292480163154,0.010103433908473465,0.018408005189508227
libero_goal_t3_vs_t2,1,RAND,64,-0.0005315887491771971,-0.0005315887491771971,0.011327657846378257
libero_goal_t3_vs_t2,1,LOC,128,-0.013181118584555167,0.014136334627176296,0.043358237285080065
libero_goal_t3_vs_t2,1,RAND,128,0.019008834835043637,0.005105958287546828,0.07885590549799881
libero_goal_t3_vs_t2,1,LOC,256,0.05794257493414086,0.07957594874564361,0.08185923987198931
libero_goal_t3_vs_t2,1,RAND,256,0.11698475368028698,0.08067760381206163,0.18020413913340322
libero_goal_t3_vs_t2,1,LOC,512,0.7981256974379218,0.7226116406854366,0.7732458939775065
libero_goal_t3_vs_t2,1,RAND,512,0.7981256974379218,0.7226116406854366,0.7732458939775065
libero_goal_t3_vs_t2,2,LOC,4,0.0007461327153616323,0.0007461327153616323,0.0016333555509041912
libero_goal_t3_vs_t2,2,RAND,4,0.0002798260485561183,0.0002798260485561183,0.00011898447711440095
libero_goal_t3_vs_t2,2,LOC,8,0.005427677715218931,0.0038700948736961373,0.004266180166097809
libero_goal_t3_vs_t2,2,RAND,8,0.0013986445526437716,-0.0005518345980503063,0.0011299765445429199
libero_goal_t3_vs_t2,2,LOC,16,0.005078893344375358,0.003698836324861883,0.005613640435539619
libero_goal_t3_vs_t2,2,RAND,16,-0.004293009019175604,-0.0031286847896165385,0.0007504291551753025
libero_goal_t3_vs_t2,2,LOC,32,0.011175641360653812,0.004334554792128267,0.010097458406011315
libero_goal_t3_vs_t2,2,RAND,32,0.009196624779771269,-0.004351871743625637,0.008974087541989327
libero_goal_t3_vs_t2,2,LOC,64,0.014321392136440677,0.010103433908473465,0.018408005189508227
libero_goal_t3_vs_t2,2,RAND,64,-0.0017199351969328436,-0.0005315887491771971,0.011327657846378257
libero_goal_t3_vs_t2,2,LOC,128,0.024280302853689626,0.014136334627176296,0.043358237285080065
libero_goal_t3_vs_t2,2,RAND,128,0.005105958287546828,0.005105958287546828,0.07885590549799881
libero_goal_t3_vs_t2,2,LOC,256,0.07957594874564361,0.07957594874564361,0.08185923987198931
libero_goal_t3_vs_t2,2,RAND,256,0.08067760381206163,0.08067760381206163,0.18020413913340322
libero_goal_t3_vs_t2,2,LOC,512,0.647820407659814,0.7226116406854366,0.7732458939775065
libero_goal_t3_vs_t2,2,RAND,512,0.647820407659814,0.7226116406854366,0.7732458939775065
libero_goal_t3_vs_t5,0,LOC,4,0.005026453989195665,0.005026453989195665,0.0016333555509041912
libero_goal_t3_vs_t5,0,RAND,4,0.012302167220870174,0.00011991276996103803,0.00011898447711440095
libero_goal_t3_vs_t5,0,LOC,8,0.01509590402864426,0.010772902644587934,0.004266180166097809
libero_goal_t3_vs_t5,0,RAND,8,0.0007947948070044715,0.0007947948070044715,0.0011299765445429199
libero_goal_t3_vs_t5,0,LOC,16,0.020865886139718008,0.012090457309148808,0.005613640435539619
libero_goal_t3_vs_t5,0,RAND,16,0.004399551660060289,0.0003307572155688788,0.0007504291551753025
libero_goal_t3_vs_t5,0,LOC,32,0.04090200254713515,0.020423974660664382,0.010097458406011315
libero_goal_t3_vs_t5,0,RAND,32,-0.0017921825342516822,0.0004942849204361522,0.008974087541989327
libero_goal_t3_vs_t5,0,LOC,64,0.0491277008692378,0.04744518839400754,0.018408005189508227
libero_goal_t3_vs_t5,0,RAND,64,0.017231665479660093,0.008965331007763496,0.011327657846378257
libero_goal_t3_vs_t5,0,LOC,128,0.05290208438028585,0.05281411183036201,0.043358237285080065
libero_goal_t3_vs_t5,0,RAND,128,-0.0029284647304234864,0.10777908249594617,0.07885590549799881
libero_goal_t3_vs_t5,0,LOC,256,0.084142530998335,0.12294277268578406,0.08185923987198931
libero_goal_t3_vs_t5,0,RAND,256,0.06977168302455587,0.22091941460349485,0.18020413913340322
libero_goal_t3_vs_t5,0,LOC,512,0.9520650648337657,0.9198764903312444,0.7732458939775065
libero_goal_t3_vs_t5,0,RAND,512,0.9520650648337657,0.9198764903312444,0.7732458939775065
libero_goal_t3_vs_t5,1,LOC,4,0.0026502713412525332,0.005026453989195665,0.0016333555509041912
libero_goal_t3_vs_t5,1,RAND,4,0.00011991276996103803,0.00011991276996103803,0.00011898447711440095
libero_goal_t3_vs_t5,1,LOC,8,0.0052812443546154065,0.010772902644587934,0.004266180166097809
libero_goal_t3_vs_t5,1,RAND,8,0.0005745859610307149,0.0007947948070044715,0.0011299765445429199
libero_goal_t3_vs_t5,1,LOC,16,0.008842892468287318,0.012090457309148808,0.005613640435539619
libero_goal_t3_vs_t5,1,RAND,16,0.0003307572155688788,0.0003307572155688788,0.0007504291551753025
libero_goal_t3_vs_t5,1,LOC,32,0.020423974660664382,0.020423974660664382,0.010097458406011315
libero_goal_t3_vs_t5,1,RAND,32,0.0004942849204361522,0.0004942849204361522,0.008974087541989327
libero_goal_t3_vs_t5,1,LOC,64,0.04744518839400754,0.04744518839400754,0.018408005189508227
libero_goal_t3_vs_t5,1,RAND,64,-0.000905461274586321,0.008965331007763496,0.011327657846378257
libero_goal_t3_vs_t5,1,LOC,128,0.0492989785061233,0.05281411183036201,0.043358237285080065
libero_goal_t3_vs_t5,1,RAND,128,0.26941426353591885,0.10777908249594617,0.07885590549799881
libero_goal_t3_vs_t5,1,LOC,256,0.12294277268578406,0.12294277268578406,0.08185923987198931
libero_goal_t3_vs_t5,1,RAND,256,0.3228283372088588,0.22091941460349485,0.18020413913340322
libero_goal_t3_vs_t5,1,LOC,512,0.9198764903312444,0.9198764903312444,0.7732458939775065
libero_goal_t3_vs_t5,1,RAND,512,0.9198764903312444,0.9198764903312444,0.7732458939775065
